Data Inicio,Mês,Ano,Atividade,Tipo de atividade,Detalhamento,Categoria,N° de participantes participantes,Modalidade,ESTADO,Participantes_limpo,Data_inicio
12/02/2025,fevereiro ,2025,Ação interna,Reunião,1º Reunião Geral do CREA JR RN,CREA Jr,19,Online,Rio Grande do Norte,19.0,2025-02-12
20/02/2025,fevereiro ,2025,Ação interna,Reunião,Reunião de proposta de lugar (midway mall) para acontecer o evento da feira do crea jr RN,Estadual,2,Online,Rio Grande do Norte,2.0,2025-02-20
22/02/2025,fevereiro ,2025,Participação,Parceria,"A convite da MÚTUA RN, representou o Crea Jr - RN, no corpo de jurados no Hackaton. Evento organizado pela MÚTUA com a temática, inovação, futuro em ação.",Mútua,1,Presencial,Rio Grande do Norte,1.0,2025-02-22
10/03/2025,março ,2025,Ação interna,Reunião interna,1a REUNIÃO EXTRAORDINÁRIA ESTADUAL DO CREA JR-RN,CREA Jr,4,Online,Rio Grande do Norte,4.0,2025-03-10
12/03/2025,março ,2025,Ação interna,Reunião interna,3º Reunião geral CREA JR RN,CREA Jr,12,Online,Rio Grande do Norte,12.0,2025-03-12
17/03/2025,março ,2025,Participação,Plenaria,Participação como membro da mesa principal da plenária do CREARN.,CREA,3,Presencial,Rio Grande do Norte,3.0,2025-03-17
17/03/2025,março ,2025,Ação interna,Reunião,2º reunião com os conselheiros do CREA RN,CREA,2,Hibrido,Rio Grande do Norte,2.0,2025-03-17
17/03/2025,março ,2025,Participação,Plenaria,3º Plenária do CREA,CREA,3,Presencial,Rio Grande do Norte,3.0,2025-03-17
25/03/2025,março ,2025,Participação,Ciclo de Palestras,Partitipação da inauguração do programa mulher da Mútua RN,Mútua,3,Presencial,Rio Grande do Norte,3.0,2025-03-25
25/03/2025,março ,2025,Participação,Ciclo de Palestras,SEMINÁRIO ESTADUAL DE SANEAMENTO AMBIENTAL DO RN - SANEARN,Sistema,2,Presencial,Rio Grande do Norte,2.0,2025-03-25
28/03/2025,março ,2025,Participação,Reunião,Participação da primeira reunião do colégio das instituições de ensino superior,CREA,2,Presencial,Rio Grande do Norte,2.0,2025-03-28
01/04/2025,abril ,2025,Participação,Evento,Participação como membro do Creajr RN apresentando o programa para o evento SEC,IES,1,Presencial,Rio Grande do Norte,1.0,2025-04-01
04/04/2025,abril ,2025,Participação,Evento,Participação como membro do Creajr RN apresentando o programa para o evento SEC,IES,1,Presencial,Rio Grande do Norte,1.0,2025-04-04
07/04/2025,abril ,2025,Ação externa,Semana de engenharia,"Apresentação do sistema/programa para os alunos da disciplina de introdução a engenharia ambiental.
Local: Setor IV da ufrn",CREA Jr,1,Presencial,Rio Grande do Norte,1.0,2025-04-07
07/04/2025,abril ,2025,Ação externa,Semana de engenharia,Apresentação dl Planejamento estratégico 2025 a 2027 do Crea-RN,CREA Jr,1,Presencial,Rio Grande do Norte,1.0,2025-04-07
07/04/2025,abril ,2025,Participação,Ciclo de Palestras,Participação do 1º Workchopp do clube de engenharia de Natal,Parceria,2,Presencial,Rio Grande do Norte,2.0,2025-04-07
16/04/2025,abril ,2025,Ação externa,Capacitação,Apresentação do programa creajr na turma de engenharia mecanica da UFRN,CREA Jr,1,Presencial,Rio Grande do Norte,1.0,2025-04-16
22/04/2025,abril ,2025,Ação externa,Plenaria,Participação na Nº 751 plenária,CREA,3,Presencial,Rio Grande do Norte,3.0,2025-04-22
29/04/2025,abril ,2025,Ação interna,Reunião,Café com Presidente do CREA RN Roberto (Momento de alinhamento das ações do programa CREA JR RN ),CREA,1,Presencial,Rio Grande do Norte,1.0,2025-04-29
30/04/2025,abril ,2025,Ação externa,Palestras,Presença no curso promovido pela AME (associação de mulheres na engenharia) de empreededorismo na UNIFACEX,Parceria,2,Presencial,Rio Grande do Norte,2.0,2025-04-30
30/04/2025,abril ,2025,Ação externa,Capacitação,Apresentação do programa creajr na turma de engenharia civil da UFRN,CREA Jr,1,Presencial,Rio Grande do Norte,1.0,2025-04-30
07/05/2025,maio ,2025,Ação externa,Reunião,"Reunião CREARN/CREAJR com Ufersa caraúbas e prefeitura municipal de Caraúbas para apresentação do prototipo da feira da engenharia, cujo projeto será elaborado pelas três instituições.",CREA,1,Presencial,Rio Grande do Norte,1.0,2025-05-07
07/05/2025,maio ,2025,Ação externa,Evento,Presença na colação de grau dos concluintes da eng. civil da UFERSA Caraúbas e entrega das carteirinhas do CREA aos novos profissionais.,CREA,1,Presencial,Rio Grande do Norte,1.0,2025-05-07
07/05/2025,maio ,2025,Ação interna,Capacitação,"Apresentação do sistema CREA,CONFEA,MUTUA e programa do CREAJRRN, para os alunos de eng. civil da UFERSA Caraúbas.",CREA Jr,1,Presencial,Rio Grande do Norte,1.0,2025-05-07
08/05/2025,maio ,2025,Ação interna,Reunião,4º Reunião geral CREA JR RN,CREA Jr,13,Hibrido,Rio Grande do Norte,13.0,2025-05-08
08/05/2025,maio ,2025,Ação externa,Reunião,REUNIÃO COM A COORDENAÇÃO DO CURSO DE ENG. ENERGIA UFRN,CREA,1,Presencial,Rio Grande do Norte,1.0,2025-05-08
12/05/2025,maio ,2025,Ação interna,Reunião,Reunião com os conselheiros do CREAjr RN para definição de metas e alinhamento de projetos e atividades estratégcas para o programa.,CREA Jr,4,Online,Rio Grande do Norte,4.0,2025-05-12
14/05/2025,maio ,2025,Ação externa,Capacitação,Apresentação do programa creajr na turma de engenharia de energia da UFRN,CREA Jr,1,Presencial,Rio Grande do Norte,1.0,2025-05-14
15/05/2025,maio ,2025,Ação externa,Evento,Evento de inauguração do CREARN HUB e garota propaganda,CREA,1,Presencial,Rio Grande do Norte,1.0,2025-05-15
16/05/2025,maio ,2025,Ação externa,Capacitação,Apresentação do programa creajr na turma de engenharia civil da UNP - universidade potiguar do rio grande do norte,CREA Jr,1,Presencial,Rio Grande do Norte,1.0,2025-05-16
19/05/2025,maio ,2025,Ação externa,Capacitação,Capacitação do CREA RN HUB para o programa mulher do crea no que diz respeito ao CREA HUB,CREA,1,Presencial,Rio Grande do Norte,1.0,2025-05-19
19/05/2025,maio ,2025,Ação externa,Plenaria,Participação na Nº 752 plenária,CREA,1,Online,Rio Grande do Norte,1.0,2025-05-19
26/05/2025,maio ,2025,Participação,Reunião,Reunião extraordinária do programa mulher CREA RN,CREA,1,Presencial,Rio Grande do Norte,1.0,2025-05-26
29/05/2025,maio ,2025,Ação interna,Semana de engenharia,Criação depost no instagran em comemoração ao dia doa geográfo em colab com o crearn,CREA Jr,1,Presencial,Rio Grande do Norte,1.0,2025-05-29
30/05/2025,maio ,2025,Ação interna,Semana de engenharia,Criação depost no isntagran em comemoração ao dia do geólogo em colab com o crearn,CREA Jr,5,Presencial,Rio Grande do Norte,5.0,2025-05-30
09/06/2025,junho ,2025,Ação interna,Capacitação,"Capacitação interna para os novos membros do crea jr e reciclagem dos vetereanos - Além das informações passadas sobre o sistema CONFEA, CREA/MUTUA e CREAJR foi feito competição com o kahho.",CREA Jr,20,Presencial,Rio Grande do Norte,20.0,2025-06-09
10/06/2025,junho ,2025,Participação,Ciclo de Palestras,Participação como palestrante no evento do caec (centro cademico de eng civil do ifrn ) apresentando o creajr rn,Parceria,1,Presencial,Rio Grande do Norte,1.0,2025-06-10
16/06/2025,junho ,2025,Ação interna,Reunião,Reuniao online com os conselheiros do creajr para programação e planejamento do mês,CREA Jr,2,Online,Rio Grande do Norte,2.0,2025-06-16
18/06/2025,junho ,2025,Participação,Reunião,"Participação em reunião como membro ativo do programa Creamulher, representando o CREAJR (Inovação hub)",CREA,1,Presencial,Rio Grande do Norte,1.0,2025-06-18
10/07/2025,julho ,2025,Participação,Reunião,"Participação em reunião com representante do include, para explicar como funciona o sistema e as parcerias.",CREA Jr,2,Online,Rio Grande do Norte,2.0,2025-07-10
23/07/2025,julho ,2025,Ação interna,Minicurso,"Promoveu mini curso sobre inspeção predial descomlicada e projeto de combate a incendio no revit com palestra sobre sitema CONFEA, CREA, E MUTUA com o evento chamado dia D civil.",CREA Jr,37,Online,Rio Grande do Norte,37.0,2025-07-23
10/06/2025,junho ,2025,Participação,Reunião,"Juntamente com o assessor técnico Kalazans na UFERSA de Mossoró, em uma reunião com as coordenações dos cursos de Engenharia da instituição. Discutimos algumas ações do CREA e do CREA Júnior, além de apresentar o programa para eles.",CREA Jr,1,Presencial,Rio Grande do Norte,1.0,2025-06-10
05/08/2025,agosto ,2025,Participação,Evento,Presente em Pau dos Ferros para participar do CEP do CREA,CREA,1,Presencial,Rio Grande do Norte,1.0,2025-08-05
14/08/2025,agosto ,2025,Ação externa,Evento,Presente em Natal para participar do CEP do CREA,CREA,1,Presencial,Rio Grande do Norte,1.0,2025-08-14
26/08/2025,agosto ,2025,Ação interna,Capacitação,"Treinamento interno sobre o CONFEA,CREA,MUTUA E CREAJR",CREA Jr,8,Online,Rio Grande do Norte,8.0,2025-08-26
22/02/2025,fevereiro ,2025,Ação interna,Reunião interna,Reunião de planejamento para o encontro estadual do piaui,Estadual,4,Online,Piauí,4.0,2025-02-22
05/02/2025,fevereiro ,2025,Ação interna,Reunião interna,"Reunião Interna com a coordenação admnistrativa, para alinhar 2025",Estadual,2,Online,Piauí,2.0,2025-02-05
07/02/2025,fevereiro ,2025,Ação interna,Reunião interna,"Reunião Interna com a coordenação comunicação, para alinhar 2025",Estadual,3,Online,Piauí,3.0,2025-02-07
06/02/2025,fevereiro ,2025,Ação interna,Reunião interna,"Reunião Interna com a coordenação expansão, para alinhar 2025",Estadual,3,Online,Piauí,3.0,2025-02-06
13/02/2025,fevereiro ,2025,Ação interna,Reunião interna,Reunião Interna da Coordenação de expansão com assessorria,Estadual,2,Online,Piauí,2.0,2025-02-13
15/02/2025,fevereiro ,2025,Ação interna,Reunião interna,Reunião interna para alinhar com os núcleos,Estadual,9,Online,Piauí,9.0,2025-02-15
13/02/2025,fevereiro ,2025,Ação interna,Reunião interna,reunião para ativar o núcleo Bom Jesus,Estadual,5,Online,Piauí,5.0,2025-02-13
26/02/2025,fevereiro ,2025,Ação interna,Desenvolvimento interno,Reunião para falar sobre a expansão do projeto creajr nas escolas,Estadual,4,Online,Piauí,4.0,2025-02-26
27/01/2025,janeiro ,2025,Ação interna,Reunião interna,reuniao interna com coordenação de projetos,Estadual,4,Online,Piauí,4.0,2025-01-27
08/02/2025,fevereiro ,2025,Ação interna,Reunião interna,reunião interna com o núcleo floriano,Estadual,4,Online,Piauí,4.0,2025-02-08
07/02/2025,fevereiro ,2025,Ação interna,Reunião interna,reun ião interna de alinhamneto estadual e nucleo parnaiba,Estadual,5,Online,Piauí,5.0,2025-02-07
17/02/2025,fevereiro ,2025,Ação interna,Reunião interna,reunião interna núcleo parnaiba,Nucleo,6,Online,Piauí,6.0,2025-02-17
18/02/2025,fevereiro ,2025,Ação interna,Reunião interna,reunião interna núcleo parnaiba,Nucleo,2,Presencial,Piauí,2.0,2025-02-18
24/02/2025,fevereiro ,2025,Ação externa,Reunião de representantes,"reunião para firmar parceria uninassau , crea, e creajr",Parceria,7,Online,Piauí,7.0,2025-02-24
07/02/2025,fevereiro ,2025,Ação interna,Reunião interna,reunião de alinhamento com o núcleo,Estadual,4,Online,Piauí,4.0,2025-02-07
21/01/2025,janeiro ,2025,Ação interna,Reunião interna,reuniao interna para alinhar 2025,Nucleo,3,Online,Piauí,3.0,2025-01-21
08/02/2025,fevereiro ,2025,Ação externa,Palestras,palestra: o mito da criatividade e a engenharia civil,Nucleo,24,Presencial,Piauí,24.0,2025-02-08
12/02/2025,fevereiro ,2025,Ação externa,Palestras,Visita Institucional: Apresentação do CreaJr na UNIP,Nucleo,68,Presencial,Piauí,68.0,2025-02-12
18/01/2025,janeiro ,2025,Ação interna,Reunião de representantes,"Reunião INterna com o colégio de representantes do Crea Piaui e CreaJr Piauí, afim de alinhar as metas e objetivos para 2025, bem como apresentar o plano da gestão de 2025",Estadual,5,Online,Piauí,5.0,2025-01-18
12/02/2025,fevereiro ,2025,Ação interna,Desenvolvimento interno,Reunião da C.E + Projetos afim de alinhar o EEEAPI,Estadual,2,Online,Piauí,2.0,2025-02-12
12/02/2025,fevereiro ,2025,Participação,Plenaria,Participação na Plenária do Crea Piaui,Estadual,40,Presencial,Piauí,40.0,2025-02-12
10/03/2025,março ,2025,Participação,Ciclo de Palestras,"Palestra durante o ciclo de palestras do CREA Piauí, durante o CREA na faculdade",Estadual,120,Presencial,Piauí,120.0,2025-03-10
18/01/2025,janeiro ,2025,Ação interna,Desenvolvimento interno,1 Reunião coordenação e núcleos,Estadual,19,Hibrido,Piauí,19.0,2025-01-18
10/03/2025,março ,2025,Participação,Palestras,Visita Institucional: Apresentação do CreaJr durante a semana de recepção dos calouros do curso de Eng. de materais ufpi,Nucleo,25,Presencial,Piauí,25.0,2025-03-10
11/03/2025,março ,2025,Participação,Palestras,Visita Institucional: Apresentação do CreaJr durante a semana de recepção dos calouros do curso de Agronomia ufpi,Nucleo,23,Presencial,Piauí,23.0,2025-03-11
13/03/2025,março ,2025,Participação,Palestras,Visita Institucional: Apresentação do CreaJr durante a semana de recepção dos calouros do curso de AEng.Eletrica ufpi,Nucleo,30,Presencial,Piauí,30.0,2025-03-13
13/03/2025,março ,2025,Participação,Palestras,Visita Institucional: Apresentação do CreaJr durante a semana de recepção dos calouros do curso de Eng. Cartografica e de agrimneusra ufpi,Nucleo,32,Presencial,Piauí,32.0,2025-03-13
20/03/2025,março ,2025,Participação,Palestras,Visita Institucional: Apresentação do CreaJr durante a semana de recepção dos calouros do curso de Eng. de Produção,Nucleo,26,Presencial,Piauí,26.0,2025-03-20
21/03/2025,março ,2025,Participação,Palestras,Visita Institucional: Apresentação do CreaJr durante a semana de recepção dos calouros do curso de Eng.Mecanica,Nucleo,25,Presencial,Piauí,25.0,2025-03-21
11/03/2025,março ,2025,Ação interna,Reunião de representantes,Reunião Interna com o presidente do CREA-Pi,Estadual,2,Presencial,Piauí,2.0,2025-03-11
16/01/2025,janeiro ,2025,Ação externa,Ação social,Campanha de arrecadação em prol das famílias atingidas pelas chuvas de picos,Beneficente,60,Hibrido,Piauí,60.0,2025-01-16
22/03/2025,março ,2025,Ação interna,Reunião de representantes,Cerimonia de posse dos diretores e assesores dos núcleos Floriano e Bom Jesus,Estadual,12,Online,Piauí,12.0,2025-03-22
11/03/2025,março ,2025,Ação interna,Parceria,Reunião para formalizar parceria entre creajr piaui e fiscalização do crea ´piaui,Parceria,2,Presencial,Piauí,2.0,2025-03-11
22/03/2025,março ,2025,Ação interna,Reunião interna,Reunião com o núcleo Bom Jesus,Nucleo,6,Online,Piauí,6.0,2025-03-22
22/03/2025,março ,2025,Ação interna,Reunião interna,Reunião com a coordenação de expansão,Estadual,2,Online,Piauí,2.0,2025-03-22
11/03/2025,março ,2025,Participação,Evento,PARTICIPAÇÃO NA ABERTURA DOS EVENTOS EM COMEMORAÇÃO AOS 50 ANOS DO CREA PIAUI,CREA,80,Presencial,Piauí,80.0,2025-03-11
15/03/2025,março ,2025,Ação externa,Palestras,PALESTRA : Protagonistas mulheres na engenharia,Nucleo,12,Presencial,Piauí,12.0,2025-03-15
23/03/2025,março ,2025,Ação interna,Desenvolvimento interno,Reunião de alinhamento com a coordenação estadual + preparativos pro eeeapi,Estadual,3,Online,Piauí,3.0,2025-03-23
25/03/2025,março ,2025,Participação,Evento,Ação do dia das mulheres+ palestra+ homenagem a 50 engenheiras piauienses,CREA,200,Presencial,Piauí,200.0,2025-03-25
26/03/2025,março ,2025,Participação,Evento,Ação do dia das mulheres+ palestra+ homenagem a 50 engenheiras piauienses,CREA,100,Presencial,Piauí,100.0,2025-03-26
27/03/2025,março ,2025,Participação,Evento,Ação do dia das mulheres+ palestra+ homenagem a 50 engenheiras piauienses,CREA,60,Presencial,Piauí,60.0,2025-03-27
29/03/2025,março ,2025,Ação interna,Desenvolvimento interno,apresentação dos grupos+ dinamica+ desenvolvimento do eeeapi,Estadual,10,Hibrido,Piauí,10.0,2025-03-29
26/03/2025,março ,2025,Ação externa,Palestras,Palestra Institucional UNINOVAFAPI,Nucleo,31,Presencial,Piauí,31.0,2025-03-26
29/03/2025,março ,2025,Ação externa,Palestras,Mesa redonda com o tema “Inovação e Tecnologia:,Nucleo,20,Presencial,Piauí,20.0,2025-03-29
26/03/2025,março ,2025,Ação externa,Evento,Cerimonia de posse do núcleo parnaiba,Nucleo,100,Presencial,Piauí,100.0,2025-03-26
03/02/2025,fevereiro ,2025,Ação externa,Reunião de representantes,Reunião de parcerias e alinhamento com a ABENC PI,Parceria,2,Online,Piauí,2.0,2025-02-03
04/02/2025,fevereiro ,2025,Ação externa,Reunião de representantes,Reunião de parcerias e alinhamento com o IBAPE,Parceria,5,Presencial,Piauí,5.0,2025-02-04
03/02/2025,fevereiro ,2025,Ação externa,Reunião de representantes,Reunião de parcerias e alinhamento com a APEAG PI,Parceria,3,Online,Piauí,3.0,2025-02-03
04/04/2025,abril ,2025,Ação interna,Desenvolvimento interno,Reunião de parcerias e alinhamento com a equipe de programção do eeeapi,CREA Jr,4,Online,Piauí,4.0,2025-04-04
05/04/2025,abril ,2025,Ação externa,Desenvolvimento interno,Reunião de parcerias e alinhamento com a equipe dos gts do eeeapi,CREA Jr,30,Presencial,Piauí,30.0,2025-04-05
03/04/2025,abril ,2025,Ação externa,Reunião,Reunião de parcerias e alinhamento com a equipede decoração,Empresa,3,Presencial,Piauí,3.0,2025-04-03
08/02/2025,fevereiro ,2025,Ação interna,Evento,Posse dos assesores da estadual,CREA Jr,40,Presencial,Piauí,40.0,2025-02-08
28/01/2025,janeiro ,2025,Participação,Evento,Participação no 14 Encontro de lideres,CONFEA,100+,Presencial,Piauí,100.0,2025-01-28
04/04/2025,abril ,2025,Ação externa,Palestras,Palestra institucional IFPI,Estadual,28,Presencial,Piauí,28.0,2025-04-04
07/04/2025,abril ,2025,Ação externa,Visita técnica,Etsagio visita com a equipe de fiscalização do CREA PI,CREA,30,Presencial,Piauí,30.0,2025-04-07
07/04/2025,abril ,2025,Ação interna,Reunião,"Reunião com o presidente do crea piaui, para alinhar as atividades do creajr piaui e encontro estadual",Estadual,3,Presencial,Piauí,3.0,2025-04-07
07/04/2025,abril ,2025,Ação interna,Reunião,reunião com a coordenação estadual e de projetos para alinhar o encontro estadual,Estadual,2,Presencial,Piauí,2.0,2025-04-07
06/04/2025,abril ,2025,Ação externa,Parceria,reunião para fechar parceria entre creajr e haro sushi,Empresa,2,Online,Piauí,2.0,2025-04-06
07/04/2025,abril ,2025,Ação interna,Parceria,reuniao para alinhar as proximas atividades de fiscalização no estado e as proximas ediçõies do estagio visita,CREA,4,Presencial,Piauí,4.0,2025-04-07
07/04/2025,abril ,2025,Ação interna,Reunião de representantes,"reuniao para alinhar o encontro estadual+ demandas do creajr com a coordenação, assessoria e diretorias",Estadual,11,Online,Piauí,11.0,2025-04-07
09/04/2025,abril ,2025,Ação externa,Reunião de representantes,reunião com representantes estudantis da agronomia do estado do piaui afim de alinhar as demandas da agronomia no estado,Estadual,3,Online,Piauí,3.0,2025-04-09
10/04/2025,abril ,2025,Ação interna,Reunião interna,reuniao com assessor da coordenação estadual para alinhar demandas,Estadual,2,Online,Piauí,2.0,2025-04-10
26/04/2025,abril ,2025,Ação externa,Parceria,Parceria com a DB INSPEÇÕES E CREAJR PIAUI,Empresa,100+,Presencial,Piauí,100.0,2025-04-26
29/04/2025,abril ,2025,Ação externa,Ação social,CAMPNHA ESTADUAL DE DOAÇÃO DE SANGUE,Beneficente,80+,Presencial,Piauí,80.0,2025-04-29
07/05/2025,maio ,2025,Ação interna,Reunião interna,Reunião de alinhamento da SEAG,CREA,20,Presencial,Piauí,20.0,2025-05-07
05/05/2025,maio ,2025,Ação externa,Parceria,REUNIAO UFPI+ CREAJR,IES,3,Presencial,Piauí,3.0,2025-05-05
30/04/2025,abril ,2025,Ação interna,Semana de engenharia,REUNIÃO GTS + CREAJR PI,CREA Jr,65,Presencial,Piauí,65.0,2025-04-30
16/04/2025,abril ,2025,Ação interna,Semana de engenharia,REUNIÃO GTS + CREAJR PI,CREA Jr,16,Online,Piauí,16.0,2025-04-16
26/04/2025,abril ,2025,Participação,Workshop,Participação no HACKATRON dos estados,CREA Jr,20+,Online,Piauí,20.0,2025-04-26
04/05/2025,maio ,2025,Ação interna,Semana de engenharia,REUNIÃO GTS + CREAJR PI,CREA Jr,10,Online,Piauí,10.0,2025-05-04
24/04/2025,abril ,2025,Ação interna,Semana de engenharia,REUNIÃO GTS + CREAJR PI,CREA Jr,10,Online,Piauí,10.0,2025-04-24
22/04/2025,abril ,2025,Ação interna,Desenvolvimento interno,reubniao interna,Estadual,15,Online,Piauí,15.0,2025-04-22
19/04/2025,abril ,2025,Ação interna,Semana de engenharia,REUNIÃO GTS + CREAJR PI,CREA Jr,10,Online,Piauí,10.0,2025-04-19
10/04/2025,abril ,2025,Ação interna,Semana de engenharia,REUNIÃO GTS + CREAJR PI,CREA Jr,10,Online,Piauí,10.0,2025-04-10
06/05/2025,maio ,2025,Ação interna,Semana de engenharia,REUNIÃO GTS + CREAJR PI,CREA Jr,10,Online,Piauí,10.0,2025-05-06
29/04/2025,abril ,2025,Ação externa,Parceria,PARCERIA ENTRE O PIT DA INVEST PIAUI E O CREAJR,Empresa,3,Presencial,Piauí,3.0,2025-04-29
24/04/2025,abril ,2025,Ação externa,Palestras,Visita aos alunos do curso de Engenharia Civil do IFPI,Nucleo,50,Presencial,Piauí,50.0,2025-04-24
25/04/2025,abril ,2025,Ação externa,Ação social,Núcleo foi nas salas da UNIFAESF incentivar e falar,Nucleo,30,Presencial,Piauí,30.0,2025-04-25
28/04/2025,abril ,2025,Participação,Curso,Participação do núcleo no 1o dia de evento,Nucleo,85,Presencial,Piauí,85.0,2025-04-28
29/04/2025,abril ,2025,Participação,Curso,Participação do núcleo no 1o dia de evento,Nucleo,85,Presencial,Piauí,85.0,2025-04-29
30/04/2025,abril ,2025,Ação interna,Desenvolvimento interno,Reunião com o núcleo presencial .,Nucleo,4,Presencial,Piauí,4.0,2025-04-30
24/04/2025,abril ,2025,Ação externa,Evento,creajr nas escolas,Nucleo,60,Presencial,Piauí,60.0,2025-04-24
07/04/2025,abril ,2025,Ação externa,Reunião de representantes,"Apresentação do Núcleo ao dietor da Universidade Federal do Piauí, Campus Cinobelina Elvas;",IES,4,Presencial,Piauí,4.0,2025-04-07
10/04/2025,abril ,2025,Ação externa,Reunião de representantes,Reunião com os representantes do Senar,Empresa,5,Presencial,Piauí,5.0,2025-04-10
